Language,Artist,Song,Jury,Public,Total Points,Year,Country,Draw,BPM,Key,Standing
Engels,John Lundvik,Too late for love,93,241,334,2019,sweden,9,104,C MAJOR,5
Engels en Samisch,KEiiNO,Spirit in the sky,291,40,331,2019,norway,15,122,A MINOR,6
Engels,Tamara Todevska,Proud,58,247,305,2019,north macedonia,8,92,C MINOR,7
Engels,Chingiz,Truth,100,202,302,2019,azerbaijan,20,100,A b MINOR,8
Engels,Kate Miller-Heidke,Zero gravity,131,153,284,2019,australia,25,132,F # MAJOR,9
IJslands,Hatari,Hatrið mun sigra,186,46,232,2019,iceland,17,110,E MINOR,10
Engels,Lake Malawi,Friend of a friend,7,150,157,2019,czech republic,3,106,A MINOR,11
"Engels, Frans en Deens",Leonora,Love is forever,51,69,120,2019,denmark,6,136,C # MAJOR,12
Engels,Tamta,Replay,32,77,109,2019,cyprus,11,102,B MINOR,13
Engels,Michela,Chameleon,20,87,107,2019,malta,1,98,B b MINOR,14
Sloveens,Zala Kralj & Gašper Šantl,Sebi,59,46,105,2019,slovenia,10,122,F # MINOR,15
Engels en Frans,Bilal Hassani,Roi,38,67,105,2019,france,21,140,F# MINOR,16
Albanees,Jonida Maliqi,Ktheju tokës,47,43,90,2019,albania,2,117,C # MAJOR,17
Servisch,Nevena Božović,Kruna,54,35,89,2019,serbia,23,158,A b MINOR,18
Engels,Serhat,Say na na na,65,12,77,2019,san marino,7,118,C # MINOR,19
Engels,Victor Crone,Storm,48,28,76,2019,estonia,18,128,D MAJOR,20
Engels,Katerine Duska,Better love,24,50,74,2019,greece,13,88,A b MAJOR,21
Spaans,Miki,La venda,53,1,54,2019,spain,26,73,C MINOR,22
Engels,Kobi Marimi,Home,35,0,35,2019,israel,14,110,A b MAJOR,23
Engels,ZENA,Like it,13,18,31,2019,belarus,19,105,G MINOR,24
Engels,S!sters,Sister,0,24,24,2019,germany,4,142,C MAJOR,25
Engels,Michael Rice,Bigger than us,3,8,11,2019,united kingdom,16,82,C MAJOR,26
Måneskin,Zitti e buoni,Italiaans,206,318,524,2021,italy,24,103,E MINOR,1
Barbara Pravi,Voilà,Frans,248,251,499,2021,france,20,135,D MINOR,2
Gjon's Tears,Tout l'Univers,Frans,267,165,432,2021,switzerland,11,123,A MINOR,3
Daði & Gagnamagnið,10 years,Engels,198,180,378,2021,iceland,12,127,E b MINOR,4
Go_A,Sjoem,Oekraïens,97,267,364,2021,ukraine,19,118,E MAJOR,5
Blind Channel,Dark side,Engels,83,218,301,2021,finland,16,98,G MAJOR,6
Destiny Chukunyere,Je me casse,Engels,208,47,255,2021,malta,6,112,A b MINOR,7
The Roop,Discoteque,Engels,55,165,220,2021,lithuania,18,115,F MAJOR,8
Manizja Sangin,Russian woman,Russisch en Engels,104,100,204,2021,russia,5,102,E MINOR,9
Stefania Liberakakis,Last dance,Engels,91,79,170,2021,greece,10,147,D MINOR,10
VICTORIA,Growing up is getting old,Engels,140,30,170,2021,bulgaria,17,94,G MAJOR,11
The Black Mamba,Love is on my side,Engels,126,27,153,2021,portugal,7,66,E MAJOR,12
Natalia Gordienko,Sugar,Engels,53,62,115,2021,moldova,14,120,B MINOR,13
Tusse,Voices,Engels,46,63,109,2021,sweden,25,90,B b MINOR,14
Hurricane,Loco loco,Servisch,20,82,102,2021,serbia,8,105,C MAJOR,15
Elena Tsagrinou,El Diablo,Engels,50,44,94,2021,cyprus,1,114,A MINOR,16
Eden Alene,Set me free,Engels en Hebreeuws,73,20,93,2021,israel,3,1077,C # MINOR,17
TIX,Fallen angel,Engels,15,60,75,2021,norway,22,93,C # MAJOR,18
Hooverphonic,The wrong place,Engels,71,3,74,2021,belgium,4,80,F MAJOR,19
Efendi,Mata Hari,Engels,32,33,65,2021,azerbaijan,21,100,E MINOR,20
Anxhela Peristeri,Karma,Albanees,22,35,57,2021,albania,2,150,G MINOR,21
Senhit feat. Flo Rida,Adrenalina,Engels,37,13,50,2021,san marino,26,104,B b MINOR,22
Jeangu Macrooy,Birth of a new age,Engels en Sranantongo,11,0,11,2021,netherlands,23,95,C MINOR,23
Blas Cantó,Voy a quedarme,Spaans,6,0,6,2021,spain,13,76,E b MAJOR,24
Jendrik,I don't feel hate,Engels,3,0,3,2021,germany,15,114,F MINOR,25
James Newman,Embers,Engels,0,0,0,2021,united kingdom,9,126,F # MAJOR,26
Kalush Orchestra,Stefania,Oekraïens,192,439,631,2022,ukraine,12,105,D MAJOR,1
Sam Ryder,Space man,Engels,283,183,466,2022,united kingdom,22,80,B MAJOR,2
Chanel,SloMo,Spaans en Engels,231,228,459,2022,spain,10,105,F # MINOR,3
Cornelia Jakobs,Hold me closer,Engels,258,180,438,2022,sweden,20,97,F # MAJOR,4
Konstrakta,In corpore sano,Servisch,87,225,312,2022,serbia,24,136,C MAJOR,5
Mahmood & Blanco,Brividi,Italiaans,158,110,268,2022,italy,9,123,G MAJOR,6
Zdob și Zdub & Frații Advahov,Trenulețul,Roemeens,14,239,253,2022,moldova,19,142,C MAJOR,7
Amanda Tenfjord,Die together,Engels,158,57,215,2022,greece,17,150,F MAJOR,8
MARO,"Saudade, saudade",Engels en Portugees,171,36,207,2022,portugal,3,83,B b MINOR,9
Subwoolfer,Give that wolf a banana,Engels,36,146,182,2022,norway,7,124,G MINOR,10
S10,De diepte,Nederlands,129,42,171,2022,netherlands,11,90,D MINOR,11
Ochman,River,Engels,46,105,151,2022,poland,23,140,A b MAJOR,12
Stefan,Hope,Engels,43,98,141,2022,estonia,25,123,B b MINOR,13
Monika Liu,Sentimentai,Litouws,35,93,128,2022,lithuania,14,93,D MAJOR,14
Sheldon Riley,Not the same,Engels,123,2,125,2022,australia,21,128,B b MINOR,15
Nadir Rüstəmli,Fade to black,Engels,103,3,106,2022,azerbaijan,15,79,A MINOR,16
Marius Bear,Boys do cry,Engels,78,0,78,2022,switzerland,5,116,F MAJOR,17
WRS,Llámame,Engels en Spaans,12,53,65,2022,romania,2,120,F MINOR,18
Jérémie Makiese,Miss you,Engels,59,5,64,2022,belgium,16,144,F # MINOR,19
Rosa Linn,Snap,Engels,40,21,61,2022,armenia,8,170,C MAJOR,20
The Rasmus,Jezebel,Engels,12,26,38,2022,finland,4,116,B MINOR,21
We Are Domi,Lights off,Engels,33,5,38,2022,czech republic,1,126,A MINOR,22
Systur,Með hækkandi sól,IJslands,10,10,20,2022,iceland,18,100,D MINOR,23
Alvan & Ahez,Fulenn,Bretons,9,8,17,2022,france,6,103,B MINOR,24
Malik Harris,Rockstars,Engels,0,6,6,2022,germany,13,81,G MAJOR,25
